epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.576,1.60648,2.01541,1.6013,0.51724,0.57511,0.519,0.23248,1.72326,1.88587,1.69537,0.000661728,0.000661728,0.000661728
2,453.761,1.66527,1.66619,1.62979,0.56186,0.48031,0.46797,0.21204,1.72899,1.93175,1.7066,0.00119688,0.00119688,0.00119688
3,722.848,1.68703,1.51994,1.62893,0.56932,0.33301,0.33625,0.1682,1.65768,1.74167,1.67382,0.00160004,0.00160004,0.00160004
